Name,Seller,Condition,Price,Shipping Cost,Shipping Country,Free Return,Last Item,Best Seller,Buy Now,Generation
Apple iPhone 12 64GB - niebieski (odblokowany) dobry stan i 100%🔋 A2172,  firma,Używany ,"1 034,89 ","112,20", Stany Zjednoczone,False,False,False,False,12
Apple iPhone 15 - 128GB zielony odblokowany - 1 rok gwarancji Apple - fabrycznie nowy w pudełku zapieczętowany,  firma,Fabrycznie nowy ,"3 223,47 ","162,07", Wielka Brytania,True,False,False,False,15
Odblokowany Apple iPhone 5 16GB 32GB 64GB biały czarny złoty smartfon zapieczętowany,  firma,Nowy (inny) ,"167,10  do 196,59 ","49,15", Chiny,False,False,False,False,5
Apple iPhone 15 128GB fabrycznie odblokowany AT&T T-Mobile Verizon doskonały stan,  firma,Odnowiony ,"2 593,01 ","162,86", Stany Zjednoczone,False,False,True,False,15
Apple iPhone XR - 64GB - czarny (odblokowany) A2105 - pęknięty - DP048,  firma,Tylko na części ,"0,05 ","73,91", Wielka Brytania,False,False,False,False,xr
Apple iPhone XS — 64 GB — Space Grey — Odblokowany - Odnowiony/Refurbed,  prywatny,Używany ,"859,77 ",Bezpłatna wysyłka, Polska,True,False,False,False,xs
Apple iPhone 13 - 128GB - różowy (AT&T) (Dual SIM),  prywatny,Używany ,"699,25 ","128,90", Stany Zjednoczone,False,False,False,False,13
Apple iPhone 15 Pro Max - 512GB - naturalny tytan (Xfinity),  prywatny,Używany ,"3 596,09 ","243,34", Stany Zjednoczone,False,False,False,False,15
Apple iPhone 11 - 64GB - czarny (odblokowany) A2111 (CDMA + GSM).odczytaj,  firma,Używany ,"719,23 ","101,93", Stany Zjednoczone,False,False,True,False,11
Apple iPhone 7 Plus (PRODUKT) CZERWONY - 256GB - (odblokowany) A1784 (GSM),  prywatny,Używany ,"24,99 ","73,96", Wielka Brytania,False,False,False,False,7
Apple iPhone 15 Pro - 256GB - niebieski tytan (AT&T),  prywatny,Nowy (inny) ,"3 791,92 ","241,74", Stany Zjednoczone,False,False,False,False,15
Apple iPhone 11 - 64GB - Black (Unlocked),  prywatny,Używany ,"881,70 ","73,12", Irlandia,False,False,False,False,11
w pełni działający oryginalny Apple iPhone 3G - 8GB - czarny A1241 IOS3 ATT,  prywatny,Używany ,"39,96 ","120,02", Stany Zjednoczone,False,False,False,False,3g
Apple iPhone 14 - 128gb Midnight (odblokowany) 1 rok gwarancji Apple - nowy zapieczętowany,  firma,Fabrycznie nowy ,"2 693,72 ","143,83", Wielka Brytania,True,False,False,False,14
Apple iPhone 14 Plus 256GB Midnight T-Mobile Doskonały stan,  firma,Używany ,"2 237,55 ","141,57", Stany Zjednoczone,False,False,True,False,14
Apple iPhone 13 128GB Spectrum Smartphone Zielony,  prywatny,Używany ,"1 198,67 ","165,14", Stany Zjednoczone,False,False,False,False,13
Smartphone Apple iPhone 6S 64GB A1688 Rose Gold - con Blocco Attivazione - LEGGI,  prywatny,Tylko na części ,"85,98 ","64,51", Włochy,False,False,False,False,6s
Apple iPhone 15 Plus - 128GB - czarny (Verizon) nowy inny,  firma,Nowy (inny) ,"3 156,56 ","181,17", Stany Zjednoczone,False,False,False,False,15
Smartfon Apple iPhone 5 IOS PIN ZABLOKOWANY SIMSLOT BRAK 0140,  firma,Używany ,"70,88 ","42,97", Niemcy,False,False,False,False,5
Apple iPhone 13 mini 128GB niebieski - odblokowany AT&T T-Mobile Verizon GSM 7583023,  firma,Używany ,"1 298,60 ","120,79", Stany Zjednoczone,False,False,False,False,13
Apple iPhone 13 Pro Max tylko części grafitowe,  prywatny,Tylko na części ,"719,23 ","129,54", Stany Zjednoczone,False,False,False,False,13
Apple Iphone 6S 32 GB Grigio Siderale,  prywatny,Używany ,"150,53 ","86,02", Włochy,False,False,False,False,6s
AppleiPhone XS Max - 256GB - Grigio Siderale,  prywatny,Używany ,"903,20 ","129,03", Włochy,False,False,False,False,
✔️(Doskonały++) Apple iPhone 12 Pro - 128GB - (T-MOBILE) PACIFIC BLUE,  firma,Używany ,"1 178,73 ","151,24", Stany Zjednoczone,False,False,False,False,12
85% N ew Apple iPhone 4 4S 8GB 16GB 32GB Odblokowany Czarny Biały W pełni działający,  firma,Używany ,"142,53  do 196,59 ",Bezpłatna wysyłka za granicę, Chiny,False,False,True,False,4
ŁADNIE UŻYWANY GSM ODBLOKOWANY 64GB iPhone SE 3. GENERACJI 2022 A2595 MMX53LL/A iOS 17.2.1.,  firma,Używany ,"759,14 ","117,43", Stany Zjednoczone,False,False,False,False,se
Apple iPhone 15 Pro - 128GB - tytanowy niebieski (bez simlocka) *nowy*oryginalne opakowanie*dealer*,  firma,Fabrycznie nowy ,"4 343,98 ","62,36", Niemcy,False,False,False,False,15
Apple iPhone 13 mini - 128GB - Starlight (Unlocked) (CA),  prywatny,Używany ,"1 403,44 ","111,11", Kanada,False,False,False,False,13
Apple iPhone SE (2020) - 64GB - Czarny (Odblokowany),  prywatny,Używany ,"79,59 ","129,75", Stany Zjednoczone,False,False,False,False,se
Apple iPhone 11 - 64GB - czarny (odblokowany) ***BEZ FACE ID***,  firma,Używany ,"599,36 ","132,82", Stany Zjednoczone,False,False,False,False,11
Apple iPhone 15 128GB czarny (bez simlocka) natychmiast nowy i oryginalne opakowanie,  firma,Fabrycznie nowy ,"3 436,48 ","150,10", Niemcy,True,False,False,False,15
Apple iPhone XS 64Gb odblokowany szary smartfon iOS dobry stan kosmetyczny 796,  firma,Tylko na części ,"449,54 ",Bezpłatna wysyłka za granicę, Wielka Brytania,False,False,False,False,xs
Apple iPhone 11 Pro - 256GB - gwiezdna szarość (Verizon),  prywatny,Używany ,"1 198,67 ","117,51", Stany Zjednoczone,False,False,False,False,11
Apple iPhone 13 Pro Max - 256GB - Alpingrün (bez simlocka) (Dual SIM),  firma,Odnowiony ,"2 576,28 ","62,32", Niemcy,False,False,False,False,13
Apple iPhone 11 - 64GB - fioletowy (NA CZĘŚCI) (ZABLOKOWANY) (CZYTAJ),  prywatny,Tylko na części ,"279,70 ","119,63", Stany Zjednoczone,False,False,False,False,11
Apple iPhone XS Max - 512GB - złoty (AT&T) przeczytaj opis,  prywatny,Używany ,"899,03 ","142,17", Stany Zjednoczone,False,False,False,False,xs
Apple iPhone XR - 64GB - czarny (odblokowany) A2105 - uszkodzony odczyt - DP049,  firma,Tylko na części ,"0,05 ","73,91", Wielka Brytania,False,False,False,False,xr
"BARDZO ŁADNY, GSM ODBLOKOWANY 64GB iPhone SE 3. GENERACJI 2022 A2595 MMX53LL/A iOS 17.2.1",  firma,Używany ,"759,14 ","127,18", Stany Zjednoczone,False,False,False,False,se
Apple IPHONE 11 128GB Czerwony Ricondiz. Bateria Super Message wymieniona,  firma,Używany ,"1 539,75 ","12,90", Włochy,False,False,False,False,11
Apple iPhone 13 Pro Max A2643 - 128GB - grafitowy (bez simlocka) (Dual SIM),  prywatny,Używany ,"2 451,55 ","62,32", Niemcy,False,False,False,False,13
Apple iPhone 5 A1429 Nero Black 305,  firma,Używany ,"38,71 ","85,98", Włochy,False,False,True,False,5
Apple iPhone 11 - 128GB - A2221 (CDMA + GSM) in perfette condizioni,  firma,Odnowiony ,"1 105,35 ","172,04", Włochy,False,False,False,False,11
Apple iPhone SE (produkt) czerwony - 64GB - A2296 - MHGR3B/A (2020),  prywatny,Używany ,"124,94 ","83,61", Wielka Brytania,False,False,False,False,se
Apple iPhone SE 16/32/64GB-szary- Odblokowany 4G-Gwarancja- Klasa A+++Gwarancja-W PUDEŁKU,  firma,Nowy (inny) ,"234,89  do 254,88 ","57,42", Wielka Brytania,False,False,False,False,se
Apple iPhone 13 Pro Max - 512 Go - Bleu Alpin (Déverrouillé),  prywatny,Używany ,"2 623,59 ","64,51", Francja,False,False,False,False,13
Apple iPhone SE 3rd Gen. - Excellent (Unlocked) (CA) Free Fast Shipping,  firma,Używany ,"877,12  do 964,83 ","222,18", Kanada,False,False,False,False,se
Apple iPhone 6 - 64GB - Space Grey (Vodafone) A1586 (CDMA + GSM) bateria uszkodzona,  firma,Tylko na części ,"114,90 ","53,27", Wielka Brytania,False,False,True,False,6
Apple iPhone XR 64GB niebieski (odblokowany) - stan bardzo dobry,  prywatny,Używany ,"679,27 ","135,01", Stany Zjednoczone,False,False,False,False,xr
APPLE IPHONE X RICONDIZIONATO 64GB OTTIMO GARANZIA BIANCO SILVER COMPLETO,  firma,Odnowiony ,"709,66 ","107,52", Włochy,True,False,True,False,x
Apple iPhone 11 A2221 64GB biały odblokowany iOS - uczciwy,  firma,Używany ,"815,12 ","95,34", Stany Zjednoczone,False,False,True,False,11
Apple iPhone 5C A1532 Bianco White 209,  firma,Używany ,"81,72 ","85,98", Włochy,False,False,True,False,5c
Apple iPhone 11 - 64GB - czarny (odblokowany) - bez tylnej kamery,  firma,Używany ,"675,27 ","100,53", Stany Zjednoczone,False,False,True,False,11
Apple iPhone SE 2022 3. generacji 64/128/256GB 5G odblokowany wszystkie kolory dobry stan,  firma,Odnowiony ,"899,52 ",Bezpłatna wysyłka za granicę, Wielka Brytania,False,False,False,False,se
Apple iPhone 12 Mini 128GB czarny - odblokowany AT&T T-Mobile Verizon GSM 7582426,  firma,Używany ,"891,04 ","107,52", Stany Zjednoczone,False,False,False,False,12
Apple iPhone XR - 128GB- A1984 żółty (odblokowany),  firma,Używany ,"395,57 ","133,78", Stany Zjednoczone,False,False,False,False,xr
Apple iPhone 5S 16GB Space Gray NOWY w zapieczętowanym oryginalnym opakowaniu,  firma,Fabrycznie nowy ,"1 204,23 ","64,51", Niemcy,False,False,True,False,5s
Apple iPhone 12 128GB czarny odblokowany dowolna sieć w pudełku nieskazitelny,  prywatny,Używany ,"1 249,41 ","117,34", Wielka Brytania,False,False,False,False,12
Apple iPhone 15 - 128GB - czarny (bez simlocka) nowy,  firma,Fabrycznie nowy ,"3 139,24 ","128,60", Niemcy,False,False,False,False,15
"Apple iPhone 7 A1660 ODBLOKOWANY dla wszystkich operatorów, wszystkie kolory + GB - Klasa B",  firma,Nowy (inny) ,"359,57 ","84,23", Stany Zjednoczone,False,False,False,False,7
90%Ne w Apple iPhone 4S 8/16/32/64GB IOS 6 IOS 9 Czarny biały odblokowany,  firma,Używany ,"143,85  do 395,57 ",Bezpłatna wysyłka za granicę, Chiny,True,False,True,False,4s
Apple iPhone 12 Pro 256GB grafitowy odblokowany w dobrym stanie,  firma,Używany ,"1 358,50 ","113,00", Stany Zjednoczone,False,True,True,True,12
Apple iPhone SE (2020) - 64GB - Czarny (Odblokowany),  prywatny,Używany ,"89,66 ","130,83", Stany Zjednoczone,False,False,False,False,se
iPhone 12 - 64GB - Odblokowany - Czarne DODATKI (Przeczytaj opis) BQ1,  firma,Używany ,"479,48 ","111,92", Stany Zjednoczone,False,False,False,False,12
Apple iPhone 11 A2221 64GB - biały / iCloud zablokowany / zablokowany!,  firma,Tylko na części ,"425,80 ","77,37", Niemcy,False,False,True,False,11
Sztuka! Rzadki pierwszej generacji Iphone Specimen Art Box Rama Specyfikacja A3,  prywatny,Używany ,"1 118,80 ","79,91", Japonia,True,False,False,False,specimen
iPhone 11 zablokowany do Tmobile,  prywatny,Używany ,"599,36 ","132,42", Stany Zjednoczone,False,False,False,False,11
Apple iPhone 12 Pro Max 128GB 256GB 512GB - bez simlocka - dobry,  firma,Odnowiony ,"1 887,35  do 2 231,30 ",Bezpłatna wysyłka za granicę, Niemcy,True,False,False,False,12
"Apple iPhone SE 2. Gen (4,7 cala) Smarthpone 64GB Biały",  firma,Używany ,"645,10 ","42,97", Niemcy,False,False,True,False,se
Apple iPhone XR - 64GB - Black (Unlocked),  prywatny,Nowy (inny) ,"602,28 ","159,61", Kanada,False,False,False,False,xr
Apple iPhone SE (2020) - 64GB - Czarny (Odblokowany),  prywatny,Używany ,"319,66 ","88,94", Stany Zjednoczone,False,False,False,False,se
Apple iPhone SE (2020) - 64GB - Czarny (Odblokowany),  prywatny,Używany ,"319,66 ","88,94", Stany Zjednoczone,False,False,False,False,se
Apple iPhone 12 Pro - 128GB - Grafit - AT&T - DOSKONAŁY STAN ✅✅,  prywatny,Używany ,"1 118,76 ","114,92", Stany Zjednoczone,False,False,True,False,12
Apple iPhone 5 A1429 16gb Nero Black 309,  firma,Używany ,"51,61 ","85,98", Włochy,False,False,True,False,5
Apple iPhone 11 - 64GB czarny - fabrycznie odblokowany - bez głośnika dousznego,  firma,Używany ,"679,03 ","90,90", Stany Zjednoczone,False,False,True,False,11
Apple iPhone 12 Pro Max 128GB 256GB 512GB - bez simlocka - dobry,  firma,Odnowiony ,"1 887,35  do 2 231,30 ",Bezpłatna wysyłka za granicę, Niemcy,True,False,False,False,12
Apple iPhone XR - 64GB - Black (Unlocked),  prywatny,Nowy (inny) ,"602,28 ","159,61", Kanada,False,False,False,False,xr
Apple iPhone 6s 64GB odblokowany reset fabryczny,  prywatny,Używany ,"59,94 ","171,18", Stany Zjednoczone,False,False,False,False,6s
APPLE IPHONE 13 RICONDIZIONATO 128GB BLU,  firma,Odnowiony ,"2 021,46 ","43,01", Włochy,False,True,False,True,13
Apple iPhone XS A2097 - 256GB - srebrny (bez simlocka) (Dual SIM),  firma,Używany ,"541,92 ","62,32", Niemcy,False,False,False,False,xs
Apple iPhone 12 mini A2399 (CDMA + GSM) - 256GB - Czarny (bez simlocka)...,  prywatny,Używany ,"1 501,04 ","62,32", Niemcy,False,False,False,False,12
Apple iPhone SE 3. generacji (PRODUKT) CZERWONY - 64GB - (Verizon),  prywatny,Używany ,"187,80 ","108,36", Stany Zjednoczone,False,False,False,False,se
"Apple iPhone 6 Plus 16GB złoty smartfon iOS 5,5 cala 8 megapikseli",  firma,Fabrycznie nowy ,"430,05 ","38,67", Niemcy,True,True,True,True,6
Apple iPhone 12 Pro 128GB 256GB 512GB - Wszystkie kolory - Bardzo dobry - bez simlocka,  firma,Odnowiony ,"1 736,90  do 2 274,31 ",Bezpłatna wysyłka za granicę, Niemcy,True,False,False,False,12
Apple iPhone 12 - 64GB - czarny (T-Mobile) (Dual SIM),  prywatny,Używany ,"799,14 ","137,69", Stany Zjednoczone,False,False,False,False,12
Apple iPhone 6 szary - 16GB - (bez simlocka) - dobry stan,  prywatny,Używany ,"38,71 ","45,12", Niemcy,False,False,False,False,6
Apple iPhone 15 Plus - 128GB - różowy (odblokowany),  prywatny,Używany ,"2 757,03 ","195,79", Stany Zjednoczone,False,False,False,False,15
Bardzo rzadki iOS 6 Apple iphone 5 16GB czarny biały odblokowany przetestowany w pełni działający,  firma,Używany ,"219,76  do 275,70 ",Bezpłatna wysyłka za granicę, Hongkong,False,False,True,False,5
Apple iPhone XR - 256GB - Czarny (Odblokowany) (Dual SIM),  prywatny,Używany ,"699,25 ","125,90", Stany Zjednoczone,False,False,False,False,xr
Apple iPhone 12 128gb odblokowany,  firma,Używany ,"1 078,65 ","104,12", Wielka Brytania,True,False,False,False,12
Apple iPhone XR 64GB Odblokowany Verizon At&t T-Mobile Cricket US Spec 12MP Aparat,  firma,Używany ,"663,29  do 759,18 ","90,38", Stany Zjednoczone,False,False,True,False,xr
Apple iPhone 12 - 64GB - fabrycznie odblokowany - doskonały stan,  firma,Odnowiony ,"1 114,80 ","105,05", Stany Zjednoczone,False,False,True,False,12
Apple iPhone 13 Pro - 128GB grafitowy (PRZECZYTAJ OPIS),  firma,Tylko na części ,"4,95 ","54,07", Wielka Brytania,False,False,False,False,13
Apple iPhone 11 -64GB- Purple (Unlocked),  prywatny,Używany ,"774,17 ","73,12", Irlandia,False,False,False,False,11
"BULK SALE _ 1x APPLE iPhone 4 A1332 _ 3x APPLE iPhone 5C A1529 _ For Parts,etc",  prywatny,Tylko na części ,"126,64 ","104,66", Australia,False,False,False,False,4
Apple iPhone 6 - 16GB A1549,  prywatny,Używany ,"119,83 ","130,93", Stany Zjednoczone,False,False,False,False,6
Apple iPhone 12 - 64GB - zielony (odblokowany) (Dual SIM) Doskonały stan,  prywatny,Używany ,"499,46 ","130,06", Stany Zjednoczone,False,False,False,False,12
iPhone 12 Pro - fabrycznie odblokowany - 256GB - niebieski - uczciwy,  firma,Używany ,"1 234,67 ","108,96", Stany Zjednoczone,False,True,True,True,12
Apple iPhone 15 - 128GB czarny odblokowany - 1 rok gwarancji Apple - fabrycznie nowy w pudełku zapieczętowany,  firma,Fabrycznie nowy ,"3 223,47 ","162,07", Wielka Brytania,True,False,False,False,15
"Apple iPhone 11, 64GB, czarny, A2221, bez simlocka, w oryginalnym opakowaniu, w tym folie ochronne",  prywatny,Używany ,"941,91 ","72,69", Niemcy,False,False,False,False,"11,"
Apple iPhone 5 A1429 Nero Black 301,  firma,Używany ,"38,71 ","85,98", Włochy,False,False,True,False,5
Apple iPhone 6 16GB gwiezdna szarość! Używany! Bez simlocka! STAN DOBRY!,  prywatny,Używany ,"53,76 ","45,12", Niemcy,False,False,False,False,6
Działający Apple iPhone 8 Plus - 64GB - czerwony (AT&T) i iPhone 6 Plus 64GB,  prywatny,Używany ,"39,96 ","147,15", Stany Zjednoczone,False,False,False,False,8
Apple iPhone SE 2016 - 32GB - Argento - iOS 15.0.2,  prywatny,Używany ,"291,48 ","86,02", Włochy,False,False,False,False,se
"Apple iPhone SE 2. Gen (4,7 cala) Smarthpone 64GB Biały",  firma,Używany ,"645,10 ","42,97", Niemcy,False,False,True,False,se
"iPhone 7, 32GB, używany, sprawdzony, 32GB, używany, ok odblokowany, odblokowany",  prywatny,Używany ,"257,63 ","51,61", Niemcy,False,False,False,False,"7,"
Apple iPhone 11 - 64GB - czarny (odblokowany) A2111 (CDMA + GSM),  prywatny,Używany ,"858,96 ","106,49", Stany Zjednoczone,False,False,False,False,11
"PRZETESTOWANY GSM ODBLOKOWANY CZARNY iPhone XR, 64GB A1984 MT3K2LL/A (88% STANU BATERII)",  firma,Używany ,"619,29 ","112,88", Stany Zjednoczone,False,False,False,False,"xr,"
Apple iPhone 12 - 128GB - zielony (odblokowany) iOS 16.2 jailbroken,  prywatny,Używany ,"1 554,33 ","187,04", Stany Zjednoczone,False,False,False,False,12
Apple iPhone 5 16GB Niesprawdzony Czarny Płytowy Aparat itp. Ok iCloudFree,  firma,Tylko na części ,"55,48 ","17,20", Niemcy,False,False,False,False,5
Apple iPhone 7 256GB złoty smartfon iOS jak nowy,  firma,Odnowiony ,"817,14 ","38,67", Niemcy,False,False,True,False,7
Apple iPhone 12 Pro Max 512GB złoty (Tmobile) pęknięty tył / obiektyw zły wyświetlacz LCD *CZYTAJ*,  firma,Tylko na części ,"1 058,66 ","113,00", Stany Zjednoczone,False,False,False,False,12
iPhone 12 - ATT - 128GB - Czarny - Fair,  firma,Używany ,"823,11 ","95,58", Stany Zjednoczone,False,True,True,True,12
Apple iPhone 6S Plus 64GB (odblokowany) różowe złoto SMARTFON,  prywatny,Używany ,"249,83 ","76,36", Wielka Brytania,False,False,False,False,6s
Apple iPhone 14 Pro 128GB 256GB 512GB 1TB (odblokowany) czarny złoty fioletowy srebrny,  firma,Odnowiony ,"2 517,17  do 3 016,63 ","150,64", Stany Zjednoczone,False,False,False,False,14
Apple iPhone 4 - czarny A1332 NIESPRAWDZONE CZĘŚCI ZAMIENNE NAPRAWY,  prywatny,Tylko na części ,"42,23 ","50,78", Wielka Brytania,False,False,False,False,4
"Apple iPhone AT&T 1. generacji 8GB czarny A1203 *nieprzetestowany w stanie, w jakim jest*",  firma,Tylko na części ,"239,70 ","102,45", Stany Zjednoczone,False,False,False,False,at&t
Apple iPhone SE (2022) - 64GB - Midnight (Straight Talk),  prywatny,Używany ,"69,92 ","127,93", Stany Zjednoczone,False,False,False,False,se
Apple iPhone 12 - 64GB - Czarny (odblokowany) A2172 (CDMA + GSM) Testowany i działa,  firma,Używany ,"1 078,64 ","145,60", Stany Zjednoczone,False,False,True,False,12
Apple iPhone XR - 64GB- A1984 - czarny - odblokowany (AP1V),  firma,Używany ,"395,57 ","124,03", Stany Zjednoczone,False,False,False,False,xr
Apple A1984 iPhone XR produkt czerwony 64GB - odblokowany,  prywatny,Używany ,"619,33 ","88,94", Stany Zjednoczone,False,False,False,False,xr
Apple iPhone 12 mini - 64GB - niebieski (T-Mobile),  prywatny,Używany ,"919,01 ","142,81", Stany Zjednoczone,False,False,False,False,12
New Apple iPhone 15 - 128GB - Blue (Unlocked),  prywatny,Fabrycznie nowy ,"3 420,88 ","103,30", Kanada,False,False,False,False,15
Apple iPhone 7 - Smart Phone - 32GB - Różowe złoto - Fabrycznie odblokowany,  firma,Używany ,"3,96 ","138,35", Stany Zjednoczone,False,False,False,False,7
"Apple iPhone 11 - 128GB - czerwony (odblokowany), fabrycznie nowy, 100% stanu baterii.",  firma,Fabrycznie nowy ,"1 594,24 ","104,35", Wielka Brytania,False,False,False,False,11
Apple iPhone 1. generacji - 8GB - czarny A1203 - BEZ ZASILANIA - (C2:6),  firma,Tylko na części ,"117,71 ","144,44", Stany Zjednoczone,False,False,False,False,1.
Apple iPhone 14 - 128GB - Midnight (Odblokowany) A2649 (CDMA + GSM),  prywatny,Używany ,"2 197,64 ","140,25", Stany Zjednoczone,False,False,False,False,14
Apple iPhone 3G - 8GB - czarny (AT&T) odblokowany,  prywatny,Tylko na części ,"31,93 ","127,34", Stany Zjednoczone,False,False,False,False,3g
Apple iPhone 8 64GB Odblokowany kosmiczna szarość AT&T T-Mobile Verizon Bardzo dobry,  prywatny,Używany ,"127,86 ","130,88", Stany Zjednoczone,False,False,False,False,8
Apple iPhone 4 32GB czarny. Darmowy z fabryki! Używany! Bez simlocka! TOP! Oryginalne opakowanie! iOS,  firma,Używany ,"481,71 ","43,01", Niemcy,True,False,True,False,4
Doskonały stan Apple iPhone 15 Plus - 256GB - czarny,  prywatny,Używany ,"3 396,35 ","268,87", Stany Zjednoczone,False,False,False,False,15
Apple iPhone 6 32GB w pudełku uszkodzony,  firma,Tylko na części ,"153,68 ","153,68", Wielka Brytania,False,False,False,False,6
Apple iPhone 12 64GB Odblokowany smartfon - dobry,  prywatny,Używany ,"958,97 ","147,40", Stany Zjednoczone,False,False,False,False,12
Smartfon Apple iPhone 5 16GB (odblokowany) - srebrny (tył) biały (przód),  prywatny,Używany ,"149,68 ","77,91", Wielka Brytania,False,False,False,False,5
Apple iPhone XR 128GB odblokowany czarny bardzo dobry,  prywatny,Używany ,"259,72 ","122,95", Stany Zjednoczone,False,False,False,False,xr
Działa dobrze 99%N ew Apple iPhone 4s 16GB / 32GB / 64GB czarny / biały w pełni odblokowany,  firma,Używany ,"157,17  do 442,27 ","26,59", Chiny,False,False,True,False,4s
Apple iPhone 12 128GB Odblokowany smartfon - dobry,  prywatny,Używany ,"1 158,75 ","116,23", Stany Zjednoczone,False,False,False,False,12
"Apple iPhone 13 Pro 128GB Grafit 5G 6,1"" Odblokowany - Gwarancja Apple maj 2025",  firma,Fabrycznie nowy ,"3 243,46 ","161,22", Wielka Brytania,False,False,False,False,13
Odblokowany Iphone Xr 64GB,  prywatny,Używany ,"2 397,42 ","256,36", Stany Zjednoczone,False,False,False,False,xr
Apple iPhone 5 - 64GB - czarny i łupkowy (odblokowany) A1429 (GSM),  firma,Fabrycznie nowy ,"444,79 ","66,22", Wielka Brytania,False,False,False,False,5
"Apple iPhone 12, 128GB, White/Biały",  prywatny,Fabrycznie nowy ,"2 200,00 ","15,00", Polska,False,False,False,False,"12,"
NUOVO! APPLE IPHONE 7 32GB 128GB 256GB IOS TUTTI COLORI GARANZIA ITALIA_24H!!,  firma,Fabrycznie nowy ,"666,22  do 902,77 ","68,39", Włochy,False,False,True,False,7
Odblokowany Apple iPhone 6s 16gb złoty,  prywatny,Używany ,"183,80 ","112,48", Stany Zjednoczone,False,False,False,False,6s
Apple iPhone 8 256GB gwiezdna szarość odblokowany -BARDZO DOBRY,  prywatny,Używany ,"279,66 ","120,43", Stany Zjednoczone,False,False,False,False,8
Apple iPhone XR - 64GB- A1984 - czarny - odblokowany (AP1U),  firma,Używany ,"395,57 ","124,03", Stany Zjednoczone,False,False,False,False,xr
Apple iPhone SE A1723 64GB Odblokowany Zły stan Sprawdź IMEI Partia 4,  firma,Używany ,"479,32 ","94,14", Stany Zjednoczone,False,False,False,False,se
K# Apple iPhone 8 - 64GB złoty model A1905 oryginalne opakowanie - uszkodzony - przeczytaj !!,  firma,Tylko na części ,"429,88 ","81,29", Niemcy,False,False,False,False,8
Apple iPhone 6s - 16GB - gwiezdna szarość (odblokowany) A1688 (CDMA + GSM),  prywatny,Używany ,"137,43 ","68,77", Wielka Brytania,False,False,False,False,6s
Apple iPhone 15 Pro - 128GB - Titan Naturalny (bez simlocka) *nowy*oryginalne opakowanie*dealer,  firma,Fabrycznie nowy ,"4 343,98 ","62,36", Niemcy,False,False,False,False,15
ŁADNIE UŻYWANY GSM ODBLOKOWANY 64GB iPhone SE 3. GENERACJI 2022 A2595 MMX53LL/A iOS 17.1.2,  firma,Używany ,"759,14 ","117,43", Stany Zjednoczone,False,False,False,False,se
Apple iPhone XR - 64GB - czarny (odblokowany) A2105 - uszkodzony przeczytaj opis -DP051,  firma,Tylko na części ,"15,99 ","74,46", Wielka Brytania,False,False,False,False,xr
Apple iPhone 12 128gb odblokowany,  firma,Używany ,"1 037,01 ","104,12", Wielka Brytania,True,False,False,False,12
Apple iPhone 12 mini 64GB odblokowany dobry stan - wszystkie kolory,  firma,Odnowiony ,"799,10  do 839,06 ","94,82", Stany Zjednoczone,False,False,True,False,12
Apple iPhone 11 - 64GB - czarny (odblokowany) *** PRZECZYTAJ***,  firma,Używany ,"599,36 ","132,82", Stany Zjednoczone,False,False,False,False,11
Very N ew Apple iPhone SE 1. generacji 16GB srebrny odblokowany z pudełkiem zapieczętowanym,  firma,Nowy (inny) ,"359,61 ",Bezpłatna wysyłka za granicę, Chiny,False,False,True,False,se
Apple iPhone 4s - 16GB - czarny (odblokowany) A1387 (CDMA + GSM) + 3 etui,  prywatny,Używany ,"62,47 ","66,17", Wielka Brytania,False,False,False,False,4s
Apple iPhone 11 - 64GB - czarny (odblokowany) A2111 (CDMA + GSM),  prywatny,Używany ,"861,71 ","130,90", Stany Zjednoczone,False,False,False,False,11
Apple iPhone 11 - 64GB - czarny (odblokowany),  prywatny,Używany ,"699,25 ","141,01", Stany Zjednoczone,False,False,False,False,11
95% Bardzo N ew Oryginalny Apple iPhone 4S 8/16/32 IOS 6 Odblokowany 3G,  firma,Nowy (inny) ,"131,86  do 155,83 ",Bezpłatna wysyłka za granicę, Hongkong,False,False,True,False,4s
NOWY Apple iPhone 11 ODBLOKOWANY Żółty 128 GB Pamięć dyskowa A2111 KOMPLETNY w pudełku i nieużywany,  prywatny,Fabrycznie nowy ,"1 398,46 ","134,06", Stany Zjednoczone,False,False,False,False,11
Apple iPhone XR czarny 64GB ATT - dobry stan z tylnym szkłem pękniętym,  firma,Tylko na części ,"427,90 ","86,23", Stany Zjednoczone,False,False,True,False,xr
"Apple iPhone 12 Mini 5G (128GB,4GB) 5,4"" OLED, w pełni odblokowany A2176",  firma,Używany ,"844,17 ","96,26", Stany Zjednoczone,False,False,True,False,12
Apple iPhone 15 Pro 256GB tytan czarny (bez simlocka) natychmiast nowy i oryginalne opakowanie,  firma,Fabrycznie nowy ,"5 070,85 ","150,10", Niemcy,True,False,False,False,15
Apple iPhone 6 Gold A1586 Disassemblato e Incorniciato - Teardown,  prywatny,Tylko na części ,"172,00 ","64,51", Włochy,False,False,False,False,6
Apple iPhone SE 3. generacji 128GB (inne) biały odblokowany,  prywatny,Używany ,"799,10 ","142,77", Stany Zjednoczone,False,False,False,False,se
Pakiet 10 iPhone 5 z 32GB/64GB (bez simlocka),  prywatny,Tylko na części ,"490,31 ","51,61", Niemcy,False,False,False,False,5
